seed,m,m_max,ef_search,recall_at_10
42,16,16,10,0.1320
42,16,16,50,0.4050
42,16,16,100,0.6180
42,16,16,200,0.8130
42,16,32,10,0.2570
42,16,32,50,0.6480
42,16,32,100,0.8390
42,16,32,200,0.9600
43,16,16,10,0.1320
43,16,16,50,0.3950
43,16,16,100,0.6030
43,16,16,200,0.8080
43,16,32,10,0.2620
43,16,32,50,0.6490
43,16,32,100,0.8390
43,16,32,200,0.9640
44,16,16,10,0.1300
44,16,16,50,0.4020
44,16,16,100,0.5980
44,16,16,200,0.8050
44,16,32,10,0.2630
44,16,32,50,0.6590
44,16,32,100,0.8390
44,16,32,200,0.9600
